filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
swingcheckvalve.png,3291,{},1,0,"{""name"":""polygon"",""all_points_x"":[1,72,72,1,1],""all_points_y"":[1,1,42,42,1]}","{""custom"":""swingcheckvalve""}"
diaphragmvalve.png,4045,{},1,0,"{""name"":""polygon"",""all_points_x"":[1,64,64,1,1],""all_points_y"":[1,1,50,50,1]}","{""custom"":""diaphragmvalve""}"
blockvalve.png,3176,{},1,0,"{""name"":""polygon"",""all_points_x"":[1,63,63,1,1],""all_points_y"":[1,1,32,32,1]}","{""custom"":""blockvalve""}"
motorblockvalve.png,4431,{},1,0,"{""name"":""polygon"",""all_points_x"":[1,65,65,1,1],""all_points_y"":[1,1,79,79,1]}","{""custom"":""motorblockvalve""}"
butterflyvalve.png,2874,{},1,0,"{""name"":""polygon"",""all_points_x"":[1,63,63,1,1],""all_points_y"":[1,1,33,33,1]}","{""custom"":""butterflyvalve""}"
gatevalve.png,3170,{},1,0,"{""name"":""polygon"",""all_points_x"":[1,63,63,1,1],""all_points_y"":[1,1,32,32,1]}","{""custom"":""gatevalve""}"
silencer.png,1849,{},1,0,"{""name"":""polygon"",""all_points_x"":[1,64,64,1,1],""all_points_y"":[1,1,34,34,1]}","{""custom"":""silencer""}"
motorglobevalve.png,4608,{},1,0,"{""name"":""polygon"",""all_points_x"":[1,65,65,1,1],""all_points_y"":[1,1,79,79,1]}","{""custom"":""motorglobevalve""}"
anglevalve.png,3508,{},1,0,"{""name"":""polygon"",""all_points_x"":[1,48,48,1,1],""all_points_y"":[1,1,47,47,1]}","{""custom"":""anglevalve""}"
globevalve.png,3482,{},1,0,"{""name"":""polygon"",""all_points_x"":[1,63,63,1,1],""all_points_y"":[1,1,33,33,1]}","{""custom"":""globevalve""}"
inlinemixer.png,3012,{},1,0,"{""name"":""polygon"",""all_points_x"":[1,63,63,1,1],""all_points_y"":[1,1,33,33,1]}","{""custom"":""inlinemixer""}"
ballvalve.png,4203,{},1,0,"{""name"":""polygon"",""all_points_x"":[1,63,63,1,1],""all_points_y"":[1,1,34,34,1]}","{""custom"":""ballvalve""}"
fourwaysvalve.png,4875,{},1,0,"{""name"":""polygon"",""all_points_x"":[1,64,64,1,1],""all_points_y"":[1,1,64,64,1]}","{""custom"":""fourwaysvalve""}"
checkvalve.png,3191,{},1,0,"{""name"":""polygon"",""all_points_x"":[1,72,72,1,1],""all_points_y"":[1,1,41,41,1]}","{""custom"":""checkvalve""}"
threewayvalve.png,3983,{},1,0,"{""name"":""polygon"",""all_points_x"":[1,64,64,1,1],""all_points_y"":[1,1,48,48,1]}","{""custom"":""threewayvalve""}"
liftcheckvalve.png,4023,{},1,0,"{""name"":""polygon"",""all_points_x"":[1,72,72,1,1],""all_points_y"":[1,1,41,41,1]}","{""custom"":""liftcheckvalve""}"
sightglass.png,2813,{},1,0,"{""name"":""polygon"",""all_points_x"":[1,63,63,1,1],""all_points_y"":[1,1,33,33,1]}","{""custom"":""sightglass""}"
